,w,tc,stc,2010_7,2010,2013_7,2013,2016_7,2016,2010,2011,2012,2013,2014,2015,2006,2007,2008
246,casualti,65,0,4,4,3,4,0,4,0,0,0,0,0,0,3,3,0
247,natur_disturb_regim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,lymantria_monacha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,restor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,zeiraphera_griseana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,landslid_monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,landslid_early_warn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,web3dgi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,landslid_suscept,234,15,3,3,16,17,15,18,15,1,1,1,0,0,17,15,15
255,dam_reservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,determinist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,landslid_hazard_map,40,4,0,0,4,4,4,4,4,4,0,0,0,0,4,4,4
258,frequenc_ratio,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,weight_factor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,logist_regress,181,5,0,25,5,29,5,30,5,1,1,0,0,0,5,5,5
261,weight_of_evid,40,4,0,0,4,4,4,4,4,4,0,0,0,0,4,4,4
262,constantin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,algeria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,seismic_microzon,8,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
265,seismic_hazard,44,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
266,pga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,al_madinah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,saudi_arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,watersh_priorit,1,3,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3
270,ahp,110,16,0,0,7,4,16,13,16,16,12,9,9,3,16,16,16
271,roc_curv,1,3,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3
272,flood_hazard,25,4,1,0,1,1,4,1,3,3,3,3,3,3,4,4,4
273,iran,27,3,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3
274,decis_support_system_dss,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
275,climat_chang_adapt,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,multi_criteria_decis_analysi_mcda,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,surfac_temperatur,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,urban_climat,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,children_health,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,playground,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,bioclimat_urban_design,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,geograph_scale,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,mountain,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,area_with_geograph_specif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,european_polici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,evidence_bas_polici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,sustain_develop,50,3,0,0,2,2,3,3,3,1,1,1,0,0,3,3,3
288,participatori_plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,snow_avalanch,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,occurr_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,mont_carlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,simul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,crowd_dynam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,pedestrian_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,traffic_model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,support_vector_machin_svm,23,4,0,0,0,0,4,4,4,4,4,4,4,0,4,4,4
297,luxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,china,44,2,0,1,2,3,2,3,2,0,0,0,0,0,2,2,2
